INS	treats	Tamoxifen
VEGFA	binds	APP
Paracetamol	treats	EGFR protein
Insulin receptor	treats	VEGF receptor
CYP2C9	interacts	Albumin
Ibuprofen	treats	VEGF receptor
Hydroxychloroquine	treats	EGFR
EGFR	treats	INS
Dexamethasone	associates	Cisplatin
Ibuprofen	associates	Aspirin
TP53	interacts	Huntington's disease
HTT	binds	Tuberculosis
BRCA1	treats	Headache
TP53	binds	HTT
Tamoxifen	treats	EGFR protein
ACE	treats	Hypertension
TP53	binds	EGFR
CYP2C9	associates	Aspirin
EGFR protein	interacts	EGFR
INS	interacts	EGFR
INS	binds	Aspirin
ACE	binds	Huntington's disease
TNF	associates	Metformin
VEGFA	interacts	Tuberculosis
Tamoxifen	treats	APP
INS	interacts	Dexamethasone
Aspirin	treats	Hydroxychloroquine
Ibuprofen	associates	Headache
EGFR	associates	Cisplatin
ACE	associates	Hemoglobin
TP53	binds	Hypertension
EGFR	associates	Atorvastatin
CYP2C9	binds	ACE
Hydroxychloroquine	associates	Paracetamol
VEGFA	treats	TP53
Dexamethasone	interacts	TP53
ACE	associates	Albumin
Tamoxifen	interacts	Asthma
APP	treats	Hemoglobin
Ibuprofen	treats	Hydroxychloroquine
Atorvastatin	interacts	Cisplatin
Dexamethasone	associates	HIV infection
Aspirin	associates	TP53
TP53	binds	VEGFA
ACE	associates	EGFR
Simvastatin	associates	Hemoglobin
Hydroxychloroquine	treats	INS
VEGFA	associates	HIV infection
EGFR	interacts	Huntington's disease
TNF	interacts	Diabetes mellitus
Metformin	associates	VEGF receptor
EGFR	binds	Ibuprofen
VEGF receptor	binds	Tuberculosis
ACE	associates	Atorvastatin
HTT	interacts	Tamoxifen
ACE	binds	VEGFA
HTT	interacts	Alzheimer's disease
EGFR	associates	Diabetes mellitus
CYP2C9	binds	Asthma
VEGFA	treats	Diabetes mellitus
EGFR	interacts	Diabetes mellitus
TNF	binds	CYP2C9
Metformin	associates	Breast cancer
HTT	treats	Cisplatin
Hemoglobin	interacts	Metformin
APP	interacts	Ibuprofen
Atorvastatin	binds	Asthma
Hemoglobin	interacts	VEGF receptor
HTT	associates	HIV infection
Ibuprofen	treats	Asthma
Albumin	treats	Dexamethasone
Atorvastatin	binds	Alzheimer's disease
Ibuprofen	associates	Aspirin
Albumin	binds	Headache
APP	treats	Aspirin
BRCA1	treats	Albumin
BRCA1	associates	Diabetes mellitus
APP	associates	TNF
APP	interacts	Paracetamol
INS	interacts	TNF
Cisplatin	interacts	HTT
EGFR protein	treats	VEGF receptor
BRCA1	associates	Hypertension
Ibuprofen	interacts	Atorvastatin
VEGF receptor	interacts	Dexamethasone
Hemoglobin	interacts	Tamoxifen
Insulin receptor	binds	VEGFA
Hemoglobin	interacts	Hydroxychloroquine
Paracetamol	associates	Headache
BRCA1	binds	Ibuprofen
ACE	interacts	TP53
INS	treats	Alzheimer's disease
HTT	associates	Ibuprofen
Cisplatin	binds	CYP2C9
Hemoglobin	treats	Headache
APP	interacts	Aspirin
INS	associates	HIV infection
Metformin	associates	HIV infection
HTT	treats	Hydroxychloroquine
TP53	interacts	Albumin
Paracetamol	associates	INS
Tamoxifen	binds	Insulin receptor
INS	binds	Cisplatin
VEGFA	binds	Osteoarthritis
Cisplatin	interacts	Breast cancer
Metformin	interacts	Dexamethasone
VEGF receptor	binds	VEGFA
HTT	interacts	INS
EGFR	associates	Alzheimer's disease
Paracetamol	associates	Aspirin
TNF	associates	HIV infection
HTT	associates	Paracetamol
ACE	treats	Asthma
Ibuprofen	treats	Breast cancer
Hydroxychloroquine	treats	Ibuprofen
Albumin	associates	HIV infection
Albumin	binds	Aspirin
Aspirin	associates	Metformin
EGFR	associates	Atorvastatin
Tamoxifen	treats	Paracetamol
EGFR	binds	Aspirin
TNF	binds	Diabetes mellitus
Tamoxifen	interacts	Alzheimer's disease
APP	treats	HIV infection
EGFR protein	binds	Asthma
TNF	treats	VEGF receptor
Cisplatin	binds	TP53
ACE	treats	Albumin
TP53	treats	Atorvastatin
Dexamethasone	interacts	VEGFA
Atorvastatin	interacts	Simvastatin
TNF	binds	HIV infection
Hydroxychloroquine	interacts	Simvastatin
BRCA1	binds	Breast cancer
Paracetamol	binds	Atorvastatin
EGFR protein	interacts	Hydroxychloroquine
ACE	treats	Osteoarthritis
Atorvastatin	binds	INS
Hemoglobin	treats	Simvastatin
TNF	interacts	VEGF receptor
Cisplatin	treats	HIV infection
Atorvastatin	binds	Albumin
Atorvastatin	treats	Alzheimer's disease
Albumin	interacts	Hemoglobin
APP	binds	Hemoglobin
Dexamethasone	binds	Asthma
Insulin receptor	binds	Alzheimer's disease
Paracetamol	binds	Hemoglobin
Cisplatin	interacts	BRCA1
HTT	treats	Hydroxychloroquine
INS	binds	CYP2C9
EGFR	associates	Cisplatin
BRCA1	associates	Breast cancer
Aspirin	interacts	Hypertension
VEGF receptor	treats	Headache
Ibuprofen	interacts	TP53
Dexamethasone	treats	Ibuprofen
VEGF receptor	interacts	VEGFA
ACE	interacts	Tuberculosis
Dexamethasone	interacts	Breast cancer
TNF	treats	BRCA1
Cisplatin	binds	Paracetamol
Hydroxychloroquine	binds	Breast cancer
Simvastatin	associates	Ibuprofen
VEGFA	associates	BRCA1
Ibuprofen	interacts	Aspirin
Tamoxifen	interacts	Hydroxychloroquine
Insulin receptor	interacts	Alzheimer's disease
ACE	treats	TP53
Albumin	associates	Metformin
Aspirin	binds	VEGFA
CYP2C9	treats	HIV infection
Simvastatin	binds	APP
Metformin	treats	Aspirin
Metformin	treats	BRCA1
INS	treats	VEGFA
Dexamethasone	associates	Atorvastatin
TNF	interacts	Headache
TP53	binds	Albumin
Insulin receptor	binds	Atorvastatin
Dexamethasone	treats	Tuberculosis
Aspirin	interacts	VEGFA
HTT	interacts	VEGFA
Insulin receptor	interacts	Paracetamol
Ibuprofen	binds	Paracetamol
ACE	treats	Ibuprofen
